ATF	1.0
31	41
"Checksum_ImageFile=9af1db4c0f1930d680dfd2d4245ca79b"
"Checksum_ResultFile=f22e1e59b8203700516803ce3223a004"
"Type=Mapix Results 2"
"DateTime=2021/04/15 19:23:11"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785, 670"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h22m59_5µm_785nmGain000.tif, L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA01161_FastGreen\Joseph_2021-04-06_14h19m00_5µm.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h22m59_5µm_785nmGain000.jpg"
"RatioFormulations=W2/W1 (670/785)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4615, 2705"
"JpegBrightness=30"
"JpegContrast=79"
"JpegBalance=28"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0, 5.0"
"PMTGain=0, 10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F670 Median - B670"	"F670 Mean - B670"	"F670 Total Intensity"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"	"Ratio of Medians (670/785)"	"Ratio of Means (670/785)"	"Median of Ratios (670/785)"	"Mean of Ratios (670/785)"	"Ratios SD (670/785)"	"Sum of Medians (670/785)"	"Sum of Means (670/785)"	"Log Ratio (670/785)"	"Rgn Ratio (670/785)"	"Rgn R2 (670/785)"
1	7	4	6625.00	3806.00	145.00	0	Spot (Block1, Row4, Column7)	40624.50	36266.46	32813288.00	76.69	77.00	10.91	0.00	0.14	76.00	78.99	76.00	18.02	0.02	0.23	6.00	0.00	0.00	1.00	0.69	43868.00	-0.13	78.23	77.50	40624.50	52384.98	0.00	0.00	0.00	40625.50	36267.16	15.31	0.89	0.80
1	8	4	6921.00	3806.00	137.95	0	Spot (Block1, Row4, Column8)	45326.00	44704.10	33365588.00	78.00	78.50	8.87	0.00	0.11	77.00	77.48	77.00	11.66	0.00	0.15	11.00	0.00	0.00	1.50	1.00	40093.00	0.04	77.51	78.00	30217.33	44617.30	0.00	0.00	0.00	45327.50	44705.10	14.88	0.59	0.35
1	1	5	4832.00	4113.00	144.30	0	Spot (Block1, Row5, Column1)	45442.50	45117.58	36713580.00	80.47	78.00	15.40	0.01	0.19	76.00	91.27	76.00	66.64	0.08	0.73	0.00	0.00	0.00	2.00	4.47	45307.00	-0.16	79.76	76.00	22721.25	10083.85	0.00	0.00	0.00	45444.50	45122.05	14.47	0.28	0.08
1	2	5	5122.00	4097.00	139.45	0	Spot (Block1, Row5, Column2)	45305.00	44772.48	34451584.00	81.08	77.00	17.45	0.02	0.22	75.00	80.48	75.00	29.73	0.03	0.37	12.00	0.00	0.00	2.00	6.08	42972.00	0.02	83.69	76.00	22652.50	7364.81	0.00	0.00	0.00	45307.00	44778.56	14.47	0.36	0.13
1	3	5	5422.00	4109.00	165.90	0	Spot (Block1, Row5, Column3)	44615.00	40782.64	47141284.00	74.07	74.00	7.05	0.00	0.10	77.00	79.00	77.00	14.39	0.01	0.18	0.00	0.00	0.00	-3.00	-2.93	56590.00	-0.34	76.10	75.00	-14871.67	-13922.22	0.00	0.00	0.00	44612.00	40779.71	100000.00	0.73	0.53
1	4	5	5730.00	4115.00	172.70	0	Spot (Block1, Row5, Column4)	44233.50	38088.49	49412968.00	77.66	77.00	6.79	0.00	0.09	76.00	76.24	76.00	10.44	0.00	0.14	9.00	0.00	0.00	1.00	1.66	64615.00	0.14	77.20	77.00	44233.50	22913.65	0.00	0.00	0.00	44234.50	38090.16	15.43	0.75	0.57
1	5	5	6024.00	4116.00	146.75	0	Spot (Block1, Row5, Column5)	45079.50	44482.26	38183732.00	87.38	79.00	31.87	0.04	0.36	77.00	89.10	77.00	40.73	0.06	0.46	9.00	8.00	0.00	2.00	10.38	51377.00	-0.04	99.12	79.00	22539.75	4287.10	0.00	0.00	0.00	45081.50	44492.64	14.46	0.20	0.04
1	6	5	6321.00	4109.00	138.45	0	Spot (Block1, Row5, Column6)	45362.00	44938.12	33597592.00	71.47	71.00	10.35	0.00	0.14	77.00	83.43	77.00	31.02	0.03	0.37	0.00	0.00	0.00	-6.00	-5.53	36877.00	-0.39	81.15	80.00	-7560.33	-8121.92	0.00	0.00	0.00	45356.00	44932.59	100000.00	0.47	0.22
1	7	5	6619.00	4105.00	169.80	0	Spot (Block1, Row5, Column7)	45307.00	41277.71	49082048.00	87.12	87.00	13.15	0.00	0.15	77.00	78.86	77.00	13.80	0.01	0.18	40.00	8.00	0.00	10.00	10.12	69523.00	0.60	87.41	84.00	4530.70	4078.20	0.00	0.00	0.00	45317.00	41287.83	12.15	0.71	0.50
1	8	5	6923.00	4110.00	147.60	0	Spot (Block1, Row5, Column8)	45287.00	44240.96	38242276.00	79.83	79.00	8.12	0.00	0.10	79.00	83.83	79.00	22.83	0.03	0.27	0.00	0.00	0.00	0.00	0.83	47339.00	-0.18	78.39	77.00	100000.00	53322.83	0.00	0.00	0.00	45287.00	44241.79	100000.00	0.50	0.25
