antigen	block	intercept	slope	antigen_number	display_order	product_code	lot_number	slide_name	sample_plate	immunoglobulin	gain_normalised_intensity
S2	24	159.5524383	30.00466689	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	1659.785783
S2	25	2931.047392	2189.313764	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	112396.7356
S2	26	169.2945345	59.31117323	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	3134.853196
S2	27	187.4991052	44.38605885	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	2406.802048
S2	28	303.1745519	87.82214683	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	4694.281894
S2	29	373.8515193	87.49535812	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	4748.619425
S2	30	151.9817556	35.02958417	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	1903.460964
S2	31	156.8311485	32.90407474	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	1802.034886
S2	32	20.74430791	5.088744358	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	275.1815258
S2	33	22.90815993	3.801457309	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	212.9810254
S2	34	752.1635851	480.0727393	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	24755.80055
S2	35	240.6407991	69.51844615	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	3716.563107
S2	36	1075.329778	896.5506238	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	45902.86097
S2	37	622.2371567	192.2203267	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	10233.25349
S2	38	202.9906169	52.60390532	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	2833.185883
S2	39	60.34586636	13.77478692	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	749.0852122
S2	40	460.8382381	124.7303304	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	6697.35476
S2	41	90.06077868	19.70077921	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	1075.099739
S2	42	98.00009358	22.36766499	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	1216.383343
S2	43	175.1827974	30.93534983	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	1721.950289
S2	44	12.93021772	2.765224771	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	151.1914563
S2	45	14.10275165	3.420714128	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	185.1384581
S2	46	53.22918671	10.10234023	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	558.3461981
S2	47	85.42815212	16.13221336	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	892.0388199
S2	48	34.07883562	13.51115444	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	709.6365577
S2	49	28.80320503	5.642991303	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	310.9527702
S2	50	23.6424556	5.231801326	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	285.2325219
S2	51	18.71676105	4.691988061	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	253.3161641
S2	52	15.45623984	1.640394089	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	97.47594429
S2	53	274.5607672	59.3320657	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	3241.164052
S2	54	253.2228751	59.74257896	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	3240.351823
S2	55	224.0278648	43.98514735	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	2423.285232
S2	56	10.57383276	1.674668192	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	94.30724237
S2	57	50.02434858	8.24758078	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	462.4033876
S2	58	44.79532785	8.255508746	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	457.5707651
S2	59	27.11066664	10.28962518	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	541.5919255
S2	60	10.01898805	1.678910053	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	93.96449071
S2	61	2.217832392	1.740887786	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	89.26222168
S2	62	5.634015085	1.77408034	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	94.33803207
S2	63	6.396870461	1.721870609	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	92.49040093
S2	64	10.52677285	1.671608275	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	94.10718658
RBD	1	28.6084669	4.463414697	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	251.7792017
RBD	2	29.72755431	3.090671253	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	184.2611169
RBD	3	62.48900416	14.42690308	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	783.8341583
RBD	4	27.05813288	3.761047396	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	215.1105027
RBD	5	71.68933966	11.91934272	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	667.6564755
RBD	6	56.31812886	23.05936442	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1209.28635
RBD	7	30.04623816	3.414848925	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	200.7886844
RBD	8	30.05133187	3.559191687	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	208.0109162
RBD	9	92.69639316	19.76607479	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1081.000133
RBD	10	40.9819799	4.513354894	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	266.6497246
RBD	11	32.79651133	2.156373771	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	140.6151999
RBD	12	71.50152703	19.91089621	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1067.046337
RBD	13	32.25901487	3.579210177	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	211.2195237
RBD	14	194.4700505	73.42510446	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	3865.725274
RBD	15	67.27884882	10.52125119	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	593.3414084
RBD	16	92.62032264	20.3227433	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1108.757487
RBD	17	80.00091126	15.56147827	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	858.074825
RBD	18	142.9083228	58.56096372	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	3070.956509
RBD	19	38.44487515	8.288323705	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	452.8610604
RBD	20	89.03556456	24.43265518	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1310.668323
RBD	21	30.83549094	2.80755289	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	171.2131354
RBD	22	145.6517611	64.7100255	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	3381.153036
RBD	23	140.1904902	37.10226366	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1995.303673
RBD	24	178.2051997	65.52747928	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	3454.579164
RBD	25	153.7677628	67.28113898	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	3517.824712
RBD	26	200.1935735	211.6388483	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	10782.13599
RBD	27	189.318463	71.44495624	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	3761.566275
RBD	28	236.4083041	54.73016472	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	2972.91654
RBD	29	102.6862853	27.84809778	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1495.091174
RBD	30	99.26532713	288.5216009	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	14525.34537
RBD	31	56.78836125	22.27063037	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1170.31988
RBD	32	43.68661626	4.285899963	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	257.9816144
RBD	33	36.93614002	3.24757282	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	199.314781
RBD	34	4595.443953	922.5941329	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	50725.1506
RBD	35	2032.485234	570.2124464	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	30543.10755
RBD	36	224.8068293	52.00185709	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	2824.899684
